Period,MSA,Unemployment Rate
2006,"Abilene, TX MSA",4.0
2006,"Aguadilla-Isabela, PR MSA",12.7
2006,"Akron, OH MSA",5.3
2006,"Albany, GA MSA",5.3
2006,"Albany, OR MSA",6.5
2006,"Albany-Schenectady-Troy, NY MSA",3.9
2006,"Albuquerque, NM MSA",3.9
2006,"Alexandria, LA MSA",4.1
2006,"Allentown-Bethlehem-Easton, PA-NJ MSA",4.6
2006,"Altoona, PA MSA",4.5
2006,"Amarillo, TX MSA",3.7
2006,"Ames, IA MSA",2.6
2006,"Anchorage, AK MSA",5.8
2006,"Ann Arbor, MI MSA",4.8
2006,"Anniston-Oxford-Jacksonville, AL MSA",4.0
2006,"Appleton, WI MSA",4.5
2006,"Arecibo, PR MSA",11.6
2006,"Asheville, NC MSA",3.8
2006,"Athens-Clarke County, GA MSA",4.0
2006,"Atlanta-Sandy Springs-Roswell, GA MSA",4.7
2006,"Atlantic City-Hammonton, NJ MSA",5.8
2006,"Auburn-Opelika, AL MSA",3.4
2006,"Augusta-Richmond County, GA-SC MSA",5.9
2006,"Austin-Round Rock, TX MSA",4.1
2006,"Bakersfield, CA MSA",7.6
2006,"Baltimore-Columbia-Towson, MD MSA",4.1
2006,"Bangor, ME Met NECTA",4.6
2006,"Barnstable Town, MA Met NECTA",4.9
2006,"Baton Rouge, LA MSA",4.4
2006,"Battle Creek, MI MSA",7.2
2006,"Bay City, MI MSA",7.2
2006,"Beaumont-Port Arthur, TX MSA",5.9
2006,"Beckley, WV MSA",4.9
2006,"Bellingham, WA MSA",4.9
2006,"Bend-Redmond, OR MSA",4.6
2006,"Billings, MT MSA",2.9
2006,"Binghamton, NY MSA",4.5
2006,"Birmingham-Hoover, AL MSA",3.7
2006,"Bismarck, ND MSA",2.9
2006,"Blacksburg-Christiansburg-Radford, VA MSA",3.4
2006,"Bloomington, IL MSA",3.5
2006,"Bloomington, IN MSA",4.5
2006,"Bloomsburg-Berwick, PA MSA",5.2
2006,"Boise City, ID MSA",3.1
2006,"Boston-Cambridge-Nashua, MA-NH Met NECTA",4.5
2006,"Boulder, CO MSA",3.7
2006,"Bowling Green, KY MSA",5.4
2006,"Bremerton-Silverdale, WA MSA",5.1
2006,"Bridgeport-Stamford-Norwalk, CT Met NECTA",4.0
2006,"Brownsville-Harlingen, TX MSA",6.6
2006,"Brunswick, GA MSA",4.1
2006,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",5.0
2006,"Burlington, NC MSA",5.5
2006,"Burlington-South Burlington, VT Met NECTA",3.4
2006,"California-Lexington Park, MD MSA",3.4
2006,"Canton-Massillon, OH MSA",5.8
2006,"Cape Coral-Fort Myers, FL MSA",2.9
2006,"Cape Girardeau, MO-IL MSA",4.6
2006,"Carbondale-Marion, IL MSA",4.3
2006,"Carson City, NV MSA",4.6
2006,"Casper, WY MSA",3.0
2006,"Cedar Rapids, IA MSA",3.7
2006,"Chambersburg-Waynesboro, PA MSA",3.3
2006,"Champaign-Urbana, IL MSA",3.7
2006,"Charleston, WV MSA",4.5
2006,"Charleston-North Charleston, SC MSA",5.2
2006,"Charlotte-Concord-Gastonia, NC-SC MSA",5.0
2006,"Charlottesville, VA MSA",2.7
2006,"Chattanooga, TN-GA MSA",4.4
2006,"Cheyenne, WY MSA",3.9
2006,"Chicago-Naperville-Elgin, IL-IN-WI MSA",4.6
2006,"Chico, CA MSA",6.2
2006,"Cincinnati, OH-KY-IN MSA",5.2
2006,"Clarksville, TN-KY MSA",5.2
2006,"Cleveland, TN MSA",5.1
2006,"Cleveland-Elyria, OH MSA",4.9
2006,"Coeur d'Alene, ID MSA",3.8
2006,"College Station-Bryan, TX MSA",4.1
2006,"Colorado Springs, CO MSA",4.6
2006,"Columbia, MO MSA",3.3
2006,"Columbia, SC MSA",5.6
2006,"Columbus, GA-AL MSA",5.4
2006,"Columbus, IN MSA",4.2
2006,"Columbus, OH MSA",4.8
2006,"Corpus Christi, TX MSA",4.9
2006,"Corvallis, OR MSA",4.7
2006,"Crestview-Fort Walton Beach-Destin, FL MSA",2.4
2006,"Cumberland, MD-WV MSA",5.5
2006,"Dallas-Fort Worth-Arlington, TX MSA",4.8
2006,"Dalton, GA MSA",4.4
2006,"Danbury, CT Met NECTA",3.3
2006,"Danville, IL MSA",5.6
2006,"Daphne-Fairhope-Foley, AL MSA",3.2
2006,"Davenport-Moline-Rock Island, IA-IL MSA",4.1
2006,"Dayton, OH MSA",5.8
2006,"Decatur, AL MSA",4.1
2006,"Decatur, IL MSA",5.3
2006,"Deltona-Daytona Beach-Ormond Beach, FL MSA",3.4
2006,"Denver-Aurora-Lakewood, CO MSA",4.4
2006,"Des Moines-West Des Moines, IA MSA",3.4
2006,"Detroit-Warren-Dearborn, MI MSA",7.1
2006,"Dothan, AL MSA",3.6
2006,"Dover, DE MSA",3.2
2006,"Dover-Durham, NH-ME Met NECTA",3.3
2006,"Dubuque, IA MSA",3.7
2006,"Duluth, MN-WI MSA",5.1
2006,"Durham-Chapel Hill, NC MSA",3.9
2006,"East Stroudsburg, PA MSA",5.2
2006,"Eau Claire, WI MSA",4.4
2006,"El Centro, CA MSA",15.4
2006,"El Paso, TX MSA",6.7
2006,"Elizabethtown-Fort Knox, KY MSA",5.6
2006,"Elkhart-Goshen, IN MSA",4.8
2006,"Elmira, NY MSA",4.8
2006,"Erie, PA MSA",5.1
2006,"Eugene, OR MSA",5.4
2006,"Evansville, IN-KY MSA",4.7
2006,"Fairbanks, AK MSA",5.7
2006,"Fargo, ND-MN MSA",2.7
2006,"Farmington, NM MSA",4.3
2006,"Fayetteville, NC MSA",5.4
2006,"Fayetteville-Springdale-Rogers, AR-MO MSA",3.5
2006,"Flagstaff, AZ MSA",4.4
2006,"Flint, MI MSA",8.5
2006,"Florence, SC MSA",7.4
2006,"Florence-Muscle Shoals, AL MSA",4.4
2006,"Fond du Lac, WI MSA",4.7
2006,"Fort Collins, CO MSA",4.0
2006,"Fort Smith, AR-OK MSA",4.6
2006,"Fort Wayne, IN MSA",5.0
2006,"Fresno, CA MSA",8.0
2006,"Gadsden, AL MSA",4.2
2006,"Gainesville, FL MSA",2.7
2006,"Gainesville, GA MSA",3.8
2006,"Gettysburg, PA MSA",3.4
2006,"Glens Falls, NY MSA",4.3
2006,"Goldsboro, NC MSA",4.7
2006,"Grand Forks, ND-MN MSA",3.5
2006,"Grand Island, NE MSA",3.0
2006,"Grand Junction, CO MSA",4.0
2006,"Grand Rapids-Wyoming, MI MSA",6.1
2006,"Grants Pass, OR MSA",6.6
2006,"Great Falls, MT MSA",3.4
2006,"Greeley, CO MSA",4.7
2006,"Green Bay, WI MSA",4.7
2006,"Greensboro-High Point, NC MSA",4.8
2006,"Greenville, NC MSA",5.2
2006,"Greenville-Anderson-Mauldin, SC MSA",6.0
2006,"Guayama, PR MSA",15.1
2006,"Gulfport-Biloxi-Pascagoula, MS MSA",9.1
2006,"Hagerstown-Martinsburg, MD-WV MSA",4.4
2006,"Hammond, LA MSA",5.2
2006,"Hanford-Corcoran, CA MSA",8.5
2006,"Harrisburg-Carlisle, PA MSA",3.7
2006,"Harrisonburg, VA MSA",2.7
2006,"Hartford-West Hartford-East Hartford, CT Met NECTA",4.6
2006,"Hattiesburg, MS MSA",4.9
2006,"Hickory-Lenoir-Morganton, NC MSA",5.9
2006,"Hilton Head Island-Bluffton-Beaufort, SC MSA",4.8
2006,"Hinesville, GA MSA",5.4
2006,"Homosassa Springs, FL MSA",3.8
2006,"Hot Springs, AR MSA",5.2
2006,"Houma-Thibodaux, LA MSA",3.4
2006,"Houston-The Woodlands-Sugar Land, TX MSA",5.0
2006,"Huntington-Ashland, WV-KY-OH MSA",5.0
2006,"Huntsville, AL MSA",3.4
2006,"Idaho Falls, ID MSA",2.8
2006,"Indianapolis-Carmel-Anderson, IN MSA",4.5
2006,"Iowa City, IA MSA",2.7
2006,"Ithaca, NY MSA",3.4
2006,"Jackson, MI MSA",7.4
2006,"Jackson, MS MSA",5.2
2006,"Jackson, TN MSA",5.6
2006,"Jacksonville, FL MSA",3.3
2006,"Jacksonville, NC MSA",4.5
2006,"Janesville-Beloit, WI MSA",5.1
2006,"Jefferson City, MO MSA",4.1
2006,"Johnson City, TN MSA",4.9
2006,"Johnstown, PA MSA",5.3
2006,"Jonesboro, AR MSA",5.2
2006,"Joplin, MO MSA",4.3
2006,"Kahului-Wailuku-Lahaina, HI MSA",2.5
2006,"Kalamazoo-Portage, MI MSA",5.8
2006,"Kankakee, IL MSA",5.6
2006,"Kansas City, MO-KS MSA",5.0
2006,"Kennewick-Richland, WA MSA",6.6
2006,"Killeen-Temple, TX MSA",5.2
2006,"Kingsport-Bristol-Bristol, TN-VA MSA",4.8
2006,"Kingston, NY MSA",4.1
2006,"Knoxville, TN MSA",4.4
